gene,D7_log2FC,D14_log2FC,D7_padj,recovery_ratio
Rps8,1.1441484773542,0.567189640083425,0.0497772875514912,0.50426919992497
Dusp19,1.14154007901687,-0.47955198190269,0.0239762284147151,0.5799078887219666
1600014C10Rik,1.13000748422329,0.260495193852978,0.0212207812289577,0.7694748065920738
Pih1d1,1.12812921017354,-0.560476092137001,7.93525193500311e-06,0.5031809414359699
Snap29,1.11844442289978,-0.220055654171884,2.21229002488725e-06,0.8032484675444598
Sp140,1.10635902847475,-0.338380398675388,0.037890936245681,0.6941495572717598
Tomm22,1.10590116319775,0.161892819525744,0.0004141733521287,0.8536100467987342
Ptpn18,1.09283363916985,0.0673592330062801,0.001473944230981,0.9383627749073974
Rpe,1.09198801408351,-0.195404779522138,1.8478877744778e-05,0.8210559300999851
Gm10123,1.07866532545894,0.488331556448889,0.0142392610287404,0.5472816777148941
Banf1,1.07475818482214,0.153161690704542,0.0275619229091196,0.8574919522665571
Gapdh,1.07080040863362,0.425547692909081,0.0329941003556884,0.6025891571594606
Chmp2b,1.06982098937964,-0.0788580867870528,0.0007713862983052,0.9262885215658552
App,1.06909020330313,0.287234441965437,0.0497772875514912,0.7313281507229428
Ift52,1.06843455969219,-0.274330388321516,0.010452480321489,0.7432408135501073
Hprt,1.06615984147767,0.528799688349818,0.0279876597486155,0.5040146254084047
Sdhc,1.05977447628135,0.0191012252561051,0.0004944405518271,0.9819761414493303
Polr1d,1.05272039017904,0.0654879021371219,0.0321297801316012,0.937791741522187
Oaz1-ps,1.04526020877878,0.395993967280411,0.0396810079812649,0.6211527388543119
BC005537,1.0403901863938,0.42457774237087,0.0357291965489377,0.5919052794581414
Farsb,1.03837236065498,0.188495005170422,7.59215180777892e-11,0.8184707025025937
Slc17a5,1.03754213793994,0.334882717445895,0.0049018455910284,0.6772345862397348
Rpl18,1.03713571374661,0.359402541675032,0.0054332854764041,0.6534662369530164
Sdf2l1,1.03204138348296,-0.148957408519491,0.017287801407335,0.8556672136375136
Pqlc2,1.02970303420813,-0.128447800213674,0.0207004067947058,0.8752574325349504
2610001J05Rik,1.02876709380614,0.39498510882908,0.0021129615046106,0.6160597367400724
Etf1,1.02850541601912,-0.0621830672699166,0.0028187024355846,0.9395403599228489
Hat1,1.02421415263017,0.378443036063111,0.0410361710879203,0.6305039965604129
Pim3,1.02286836553697,0.243937841484486,0.0192224527658623,0.7615159000870779
Bnip2,1.02111938002074,0.333058342632352,0.0019902232048745,0.6738301621250327
Copz1,1.0154322279577,0.477408842871111,0.0254325815717994,0.5298466704850355
3830406C13Rik,1.01130876356726,0.162867923426493,2.88093373874439e-05,0.8389533154523475
Oaz1,1.011302715138,0.12486455788524,0.0122754799360389,0.8765309773066304
Pid1,1.00436338063884,0.501916475907408,8.28490709502587e-05,0.5002640622080858
Atg3,1.00249360558701,0.271883792293447,0.0440009547110528,0.7287924922630848
